title,amazon_rating,isbn10,amazon_price_usd,first_name,last_name,amazon_ratings_count
"World Atlas: Government Approved Maps of India and the World, for Exams and Competitions...",3.5,9357941495,1.41,VS,Editorial Board   ,2
Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs,4.7,9387421007,3.045,Disha,Experts    ,7
The Perks of Being a Wallflower,4.4,1451696191,2.79,Stephen,Chbosky    ,306
"The Husband's Secret: From the bestselling author of Big Little Lies, now an...",3.6,1405911662,3.315,Liane,Moriarty    ,31
The Sealed Nectar: Biography of the Noble Prophet,4.7,9960899551,7.2749999999999995,Safi-ur-Rahman,al-Mubarkpuri    ,38
Numbercaste,4.5,9353023335,3.27,Yudhanjaya,Wijeratne    ,2
Indian Art and Culture,4.5,9387067548,6.18,Nitin,Singhania    ,391
The Secret Of The Nagas (Shiva Trilogy-2),4.6,9381626340,3.6599999999999997,Amish,Tripathi    ,1681
Sita: Warrior of Mithila (Ram Chandra),4.3,9386224585,3.3899999999999997,Amish,Tripathi    ,1817
The Oath of the Vayuputras (Shiva Trilogy),4.4,9382618341,4.2299999999999995,Amish,Tripathi    ,1608
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,4.1,9385152149,3.5999999999999996,Amish,Tripathi    ,4651
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,4.4,8172343116,1.4849999999999999,Mahatma,Gandhi    ,247
Turning Points : A Journey Through Challanges: A Journey Through Challenges,4.7,9350293471,2.025,A.P.J.,Abdul Kalam   ,409
The Autobiography of Benjamin Franklin,4.1,8175993286,1.4849999999999999,Benjamin,Franklin    ,253
Grinding It Out: The Making of McDonald's,4.5,1250127505,4.2,Ray,Kroc    ,21
My Journey: Transforming Dreams into Actions,4.7,8129124912,2.6999999999999997,A.P.J.,Abdul Kalam   ,587
Without Fear,4.7,9350292203,2.55,Kuldip,Nayar    ,95
A Century is not Enough: My Roller-coaster Ride to Success,4.6,9386228564,5.444999999999999,Sourav,Ganguly    ,322
Mossad,4.6,8184958455,5.1,Michael,Bar-Zohar    ,637
Narendra Modi: A political Biography,4.4,9351770257,3.795,Andy,Marino    ,92
12 Years a Slave,4.5,8175994479,1.4849999999999999,Solomon,Northup    ,41
Albert Einstein: A Biography,4.3,8184953542,3.945,Alice,Calaprice    ,44
Touch the Sky: The inspiring stories of women from across India who are writing...,3.7,9386850702,1.635,Rashmi,Bansal    ,38
Devil's Advocate: The Untold Story,4.1,9352779843,5.55,Karan,Thapar    ,70
Jerusalem: The Biography,4.6,1780220251,7.859999999999999,Simon,Sebag Montefiore   ,17
My Journey,4.6,8183224202,1.5899999999999999,Apj,Abdul Kalam   ,61
Lone Fox Dancing: My Autobiography,4.8,9386338904,4.725,Ruskin,Bond    ,99
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,8170286840,1.7999999999999998,A.P.J.,Abdul Kalam   ,148
Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,4.9,9386850575,4.395,Bhanumathi,Narasimhan    ,330
Ronaldo - 2018 Updated Edition: The Obsession For Perfection (Luca Caioli),5.0,1785782312,5.385,Luca,Caioli    ,9
The Coalition Years,3.6,8129149052,4.875,Pranab,Mukherjee    ,39
Unbreakable,4.6,9351160092,2.175,Mary,Kom    ,158
Pride & Prejudice,4.3,8172344503,1.185,Jane,Austen    ,352
Rekha: The Untold Story,3.7,8193284186,3.84,Yasser,Usman    ,72
How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your...,4.4,8184005210,3.63,Aditi,Singhal    ,147
Pathways to Greatness,4.7,9352643836,2.475,A.P.J.,Abdul Kalam   ,13
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.2,8170289262,1.605,Swami,Vivekanand    ,306
Meri Jeevan Yatra,4.7,9350487977,2.25,A.P.J.,Abdul Kalam   ,146
Autobiography of a Yogi (Telugu),4.7,8189955357,2.1149999999999998,Paramahansa,Yogananda    ,114
Ivory Throne: Chronicles of the House of Travancore,4.3,9351776425,6.495,Manu,S. Pillai   ,127
"Shirdi Sai Baba: Life, Philosophy & Teachings",4.1,8175994711,2.385,Satish,C. Agarwal   ,10
I Tagged Her in My Heart,4.7,8129149567,1.5,Anuj,Tiwari    ,224
Sanjay Dutt: The Crazy Untold Story of Bollywood’s Bad Boy,4.2,9386228580,4.395,Yasser,Usman    ,37
A Thousand Splendid Suns,4.5,1408844443,5.609999999999999,Khaled,Hosseini    ,729
Don'T Kill Him!: The Story Of My Life With Bhagwan Rajneesh,3.6,8172344449,2.835,Ma,Anand Sheela   ,32
Turning Points (Hindi),4.7,9350641003,2.4,A.P.J.,Abdul Kalam   ,409
Lauhpurush Sardar Vallabhbhai Patel,5.0,9350484080,2.145,Sushil,Kapoor    ,2
Bal Thackeray and the Rise of the Shiv Sena,3.7,8174369589,4.2,Vaibhav,Purandare    ,13
Indira: India’s Most Powerful Prime Minister,1.4,9386228343,7.62,Sagarika,Ghose    ,389
This Is Not Your Story,4.5,9386224399,1.5,Savi,Sharma    ,2177
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,4.1,9385152149,3.5999999999999996,Amish,Tripathi    ,4651
Tom Gates Book #2: Excellent Excuses Cand Other Good Stuff,4.8,9351033007,2.355,Tom,Gates    ,76
Veronika Decides to Die,4.4,8172235437,2.79,Paulo,Coelho    ,202
Miracles of Your Mind,4.2,8183225101,1.08,Dr.,Joseph Murphy   ,218
Sita: Warrior of Mithila (Ram Chandra),4.3,9386224585,3.3899999999999997,Amish,Tripathi    ,1817
The Leader Who Had No Title,4.4,8184951191,2.835,Robin,Sharma    ,393
Tom Gates Book #3: Everythings Amazing,4.8,9351033015,2.355,Tom,Gates    ,55
The Boy in the Striped Pyjamas (Definitions),4.6,1862305277,5.25,John,Boyne    ,134
My Journey: Transforming Dreams into Actions,4.7,8129124912,2.6999999999999997,A.P.J.,Abdul Kalam   ,587
The Definitive Book of Body Language,4.4,8183220142,3.8249999999999997,Allan,Pease    ,137
The Magic,4.6,1849838399,3.4499999999999997,Rhonda,Byrne    ,602
The Magic,4.6,1849838399,3.4499999999999997,Rhonda,Byrne    ,602
Eclipse,4.3,1904233910,6.705,Stephenie,Meyer    ,92
The Great Book of Puzzles & Teasers,4.2,8172242212,0.8999999999999999,George,J. Summers   ,68
Prep Guide To BITSAT 2019,4.1,9313163802,7.455,Arihant,Expert    ,19
